MoyoriSearchMemoryFile
# ファイル名(20文字まで) UTF-8で書いてね
駅コード調査用
# グループコード,駅名,色コード [インポート時はグループコード, 色コードのみ利用]
1111014,トマム,1
1111102,勇払,1
1111103,浜厚真,1
1111104,浜田浦,1
1111105,鵡川,1
1111106,汐見,1
1111107,富川,1
1111108,日高門別,1
1111109,豊郷,1
1111110,清畠,1
1111111,厚賀,1
1111112,大狩部,1
1111113,節婦,1
1111114,新冠,1
1111115,静内,1
1111117,東静内,1
1111118,春立,1
1111119,日高東別,1
1111120,日高三石,1
1111121,蓬栄,1
1111122,本桐,1
1111123,荻伏,1
1111124,絵笛,1
1111125,浦河,1
1111126,東町,1
1111127,日高幌別,1
1111128,鵜苫,1
1111129,西様似,1
1111130,様似,1
1111203,八軒,1
1111204,新川,1
1111205,新琴似,1
1111206,太平,1
1111207,百合が原,1
1111208,篠路,1
1111209,拓北,1
1111210,あいの里教育大,1
1111211,あいの里公園,1
1111212,石狩太美,1
1111213,石狩当別,1
1111214,北海道医療大学,1
1111215,石狩金沢,1
1111216,本中小屋,1
1111217,中小屋,1
1111218,月ケ岡,1
1111219,知来乙,1
1111220,石狩月形,1
1111221,豊ケ岡,1
1111222,札比内,1
1111223,晩生内,1
1111224,札的,1
1111225,浦臼,1
1111226,鶴沼,1
1111227,於札内,1
1111228,南下徳富,1
1111229,下徳富,1
1111230,新十津川,1
1111302,北一已,1
1111303,秩父別,1
1111304,北秩父別,1
1111305,石狩沼田,1
1111306,真布,1
1111307,恵比島,1
1111308,峠下,1
1111309,幌糠,1
1111310,藤山,1
1111311,大和田,1
1111312,留萌,1
1111313,瀬越,1
1111315,礼受,1
1111316,阿分,1
1111317,信砂,1
1111318,舎熊,1
1111319,朱文別,1
1111320,箸別,1
1111321,増毛,1
1111402,神楽岡,1
1111403,緑が丘,1
1111404,西御料,1
1111405,西瑞穂,1
1111406,西神楽,1
1111407,西聖和,1
1111408,千代ケ岡,1
1111409,北美瑛,1
1111410,美瑛,1
1111411,美馬牛,1
1111412,上富良野,1
1111413,西中,1
1111414,ラベンダー畑,1
1111415,中富良野,1
1111416,鹿討,1
1111417,学田,1
1111502,旭川四条,1
1111503,新旭川,1
1111504,永山,1
1111505,北永山,1
1111506,南比布,1
1111507,比布,1
1111508,北比布,1
1111509,蘭留,1
1111510,塩狩,1
1111511,和寒,1
1111512,東六線,1
1111513,剣淵,1
1111514,北剣淵,1
1111515,士別,1
1111516,下士別,1
1111517,多寄,1
1111518,瑞穂,1
1111519,風連,1
1111520,東風連,1
1111521,名寄,1
1111522,日進,1
1111523,北星,1
1111524,智恵文,1
1111525,智北,1
1111526,南美深,1
1111527,美深,1
1111528,初野,1
1111529,紋穂内,1
1111530,恩根内,1
1111531,豊清水,1
1111532,天塩川温泉,1
1111533,咲来,1
1111534,音威子府,1
1111535,筬島,1
1111536,佐久,1
1111537,天塩中川,1
1111538,歌内,1
1111539,問寒別,1
1111540,糠南,1
1111541,雄信内,1
1111542,安牛,1
1111543,南幌延,1
1111544,上幌延,1
1111545,幌延,1
1111546,下沼,1
1111547,豊富,1
1111548,徳満,1
1111549,兜沼,1
1111550,勇知,1
1111551,抜海,1
1111552,南稚内,1
1111553,稚内,1
1111604,南永山,1
1111605,東旭川,1
1111606,北日ノ出,1
1111607,桜岡,1
1111608,当麻,1
1111609,将軍山,1
1111610,伊香牛,1
1111611,愛別,1
1111612,中愛別,1
1111613,愛山,1
1111614,安足間,1
1111615,東雲,1
1111616,上川,1
1111617,上白滝,1
1111618,白滝,1
1111619,旧白滝,1
1111620,下白滝,1
1111621,丸瀬布,1
1111622,瀬戸瀬,1
1111623,遠軽,1
1111624,安国,1
1111625,生野,1
1111626,生田原,1
1111627,金華,1
1111628,西留辺蘂,1
1111629,留辺蘂,1
1111630,相内,1
1111631,東相内,1
1111632,西北見,1
1111633,北見,1
1111634,柏陽,1
1111635,愛し野,1
1111636,端野,1
1111637,緋牛内,1
1111638,美幌,1
1111639,西女満別,1
1111640,女満別,1
1111641,呼人,1
1111642,網走,1
1111702,桂台,1
1111703,鱒浦,1
1111704,藻琴,1
1111705,北浜,1
1111706,原生花園,1
1111707,浜小清水,1
1111708,止別,1
1111709,知床斜里,1
1111710,中斜里,1
1111711,南斜里,1
1111712,清里町,1
1111713,札弦,1
1111714,緑,1
1111715,川湯温泉,1
1111716,美留和,1
1111717,摩周,1
1111718,南弟子屈,1
1111719,磯分内,1
1111720,標茶,1
1111721,五十石,1
1111722,茅沼,1
1111723,塘路,1
1111724,細岡,1
1111725,釧路湿原,1
1111726,遠矢,1
1111801,中小国,1
1111803,竜飛海底,1
1111805,知内,1
1111901,江差,1
1111902,上ノ国,1
1111903,中須田,1
1111904,桂岡,1
1111905,宮越,1
